Line of route,ELR
SO511,ELL2
SO520,FJL
SO590,KJE2
SO600,ATH
SO630,BLI1
SO650,LTH
SO680,HHT
SW100,BML1
SW110,WPH1
SW115,LUD2
SW130,ECR
SW160,BLP
SW170,SAL
SW255,VWW
SW260,AAV
EA1320,CRC1/2
EA1327,ELL4
EA1330,BOK 5
EA1360,BDH
LN3140,SPC1
MD320,RBS1
MD720,NAJ2
GW317,OWW
W572,FNS2
W600,SWB
W608,DAC
W610,BAE2
SC161,SUB1
SC195,ECN5
EA1011,LTN1
EA1013,LTN2
EA1090,COC
EA1150,CST
EA1161,BGK
EA1162,BGK
EA1320,CFP
EA1360,CAW
EA1360,WAW
EA1400,GFB
EA1430,ESK
EA1460,FED
EA1490,CRS
EA1510,RBY
GW105,HIW
GW108,MLN1
GW130,AWL
GW180,HLL1
GW187,HEN
GW200,DCL
GW560,WEY
GW572,FNS2
GW608,DAC
GW618,MOB
GW628,PLO
GW660,NEW
GW690,SIV
GW730,SHL
GW736,GNQ4
GW770,EBW
GW773,WVL
GW820,TBD
GW864,PTH
GW897,HDY
GW900,NPF
GW940,CNW
MD175,NMH
MD232,PVS
MD301,RBS3
MD355,LTV
MD401,DCL
MD435,DCL
MD565,CBR2
MD701,MCJ1
MD810,MJI1
MD940,WAH
LN101,ECM1
LN101,PMJ
LN170,SPD3
LN185,GRS1
LN210,NSE
LN215,BHP
LN3201,MCL
LN3201,SPC2
LN3201,SPC7
LN3204,TSN2
LN3222,BDH
LN3255,RAC
LN3273,PBS1
LN3273,TCC
LN3340,BJW3
LN3505,NSS
LN3635,NOG1
LN600,ECM4
LN600,ECM7
LN620,KEB
LN632,DSN3
LN648,NWE
LN662,HNB
LN666,BGE
LN682,NEC1
LN706,WSB
LN736,MAC3
LN736,NUJ1
LN740,PYE1
LN740,PYE2
LN741,HAU
LN754,SAN
LN784,HIM
LN804,SMJ2
LN806,CHR
LN807,MAS
LN816,BEW
LN826,SJM2
LN838,HAY1
LN859,GRD
LN872,TJC3
LN875,CPM1
LN888,HTM
LN896,DRA2
LN902,CFM
LN914,HBS
NW1013,CSG
NW1019,CHW1
NW1027,PSR1
NW1027,PSR2
NW2011,WOA1
NW2023,SBH2
NW3005,WSJ2
NW3035,HNO
NW4001,CGJ6
NW4001,CGJ7
NW4017,MHH
NW4019,OXW
NW5013,DJO1
NW5017,DSD
NW5021,SAJ
NW6001,MVE1
NW7009,FHR1
NW7013,DJH
NW7021,MVL1
NW8017,CCS2
NW9005,CNB3
NW9901,NEC2
NW9903,SJC
SC003,ECA3
SC021,COS2
SC025,ARG2
SC031,MEN2
SC031,WCM2
SC037,RIC2
SC051,CTC
SC059,AYR2
SC069,CON1
SC075,MSK
SC077,ARH
SC087,ANN
SC093,SCM2
SC107,EGM3
SC113,DMY
SC115,MRL1
SC123,NEM5
SC123,NEM7
SC143,OBN1
SC147,ECM9
SC157,MLE
SC171,ECN2
SC195,RSW
SC201,BGD
SO130,BEX
SO130,TLP2
SO150,SEJ1
SO150,SEJ2
SO150,WMS
SO210,APL
SO220,ACR
SO250,BSP1
SO280,BMJ
SO290,BTC
SO290,CRA
SO310,HDR
SO330,LCH
SO330,NBB
SO420,CRF1
SO470,TRL3
SO650,BBJ
SO650,SCP
SO681,ELL3
SW100,RDG1
SW100,SCC
SW135,ETF
SW180,BTH3
SW210,RDG1
SW230,NKE2
SW245,SHF
SW265,GTW1
SW100,FLL2/3
LN3240,LED
MD101,LLG
MD136,WEF1
W580,ESB
W606,DAC
W628,SUT1
W628,FRY
GW733,SBA1/2
SC147,EGM4
NW1003,HCM2
NW1003,HCM3
