Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	W6A	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
London-North-Western-North	1047	NW5003	STY	Heald Green South Jn – Heald Green North Jn	2	50	3	13	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1047	NW5003	STY	Heald Green North Jn – Slade Lane Jn	3	13	9	44	Y	Y	Y	Y	N	Y	N	N	
London-North-Western-North	1047	NW5005	SMA	Heald Green South Jn – Heald Green West Jn	1	48	1	10	Y	N	N	N	N	N	N	N	
London-North-Western-North	1047	NW5007	MIA	Manchester Airport – Heald Green North Jn	0	00	1	51	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1047	NW5008	NBS	Norton Bridge North Jn – Stone Jn	3	57	0	00	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1047	NW5009	CMD2	Colwich Jn – Stone Jn	38	61	20	36	Y *	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1047	NW5009	CMD2	Stone Jn – Stoke Jn	20	36	21	04	Y *	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1047	NW5009	CMD2	Stoke Jn – Glebe Street Jn	21	04	20	10	Y *	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1047	NW5009	CMD2	Glebe Street Jn – Change of ELR	20	10	15	65	Y *	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1048	NW5009	CMD1	Change of ELR – Kidsgrove Jn	13	68	16	00	Y *	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1048	NW5009	CMD1	Kidsgrove Jn – Macclesfield Hibel Road (Change of ELR)	13	68	0	00	Y *	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1048	NW5009	MCH	Macclesfield Hibel Road (Change of ELR) – Cheadle Hulme North Jn	9	37	0	00	Y *	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1048	NW5010	SCQ1	Glebe Street Jn – Change of Mileage	20	08	20	33	–	–	–	–	–	–	–	–	Line Out of Use
London-North-Western-North	1048	NW5010	SCQ1	Change of Mileage – Change of Mileage (Site of Former Milton Jn)	0	00	3	51	–	–	–	–	–	–	–	–	Line Out of Use
London-North-Western-North	1048	NW5010	SCQ2	Change of Mileage (Site of Former Milton Jn) – Change of Mileage (Site of Former Leek Brook Jn)	0	00	6	65	–	–	–	–	–	–	–	–	Line Out of Use
London-North-Western-North	1048	NW5010	SCQ3	Change of Mileage (Site of Former Leek Brook Jn) – Caldon Quarry	0	00	8	01	–	–	–	–	–	–	–	–	Line Out of Use
London-North-Western-North	1048	NW5011	HNS	Heaton Norris Jn – Guide Bridge Station Jn	0	00	4	73	Y * R1	Y	S1	N	N	N	N	N	R1 * applies between Heaton Norris Jn and Denton Jn (4m 13ch) S1 Between Heaton Norris Jn and Denton Jn (4m 13ch) the following combinations are permitted to run Up to: 2591(h) x 2500(w) on FEA FCA FSA/FTA wagons 2591(h) x 2500(w) on KFA wagons 2896(h) x 2500(w) on FLA wagons S16FT up to 2550(w) on KFA wagons S17FT up to 2550(w) on FEA FSA/FTA wagons
London-North-Western-North	1048	NW5012	NSS	Route Boundary (LN3505) – Stoke Jn	1	40	0	00	Y	Y	N	N	N	N	N	N	
London-North-Western-North	1048	NW5013	DJO1	Denton Jn – Change of Mileage (Site of Former Crowthorne Jn)	4	10	5	28	Y *	Y	Y	N	N	N	N	N	
London-North-Western-North	1048	NW5013	DJO2	Change of Mileage (Site of Former Crowthorne Jn) – Change of Mileage (Site of Former Ashton Moss South Jn)	0	53	1	19	Y *	Y	Y	N	N	N	N	N	
London-North-Western-North	1048	NW5013	AMJ	Change of Mileage (Site of Former Ashton Moss South Jn) – Ashton Moss North Jn	0	00	0	40	Y *	Y	Y	N	N	N	N	N	
London-North-Western-North	1048	NW5015	HAJ	Hadfield – Dinting East Jn	12	61	12	00	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1048	NW5015	HAJ	Dinting East Jn – Dinting West Jn	12	00	11	66	Y *	N	N	N	N	N	N	N	
